"county","bldg_id","useful_cols_in_bldg_count"
"G4500190",43900,10
"G4500190",171423,10
"G4500190",227767,10
"G4500190",292789,10
"G4500190",332048,10
"G4500190",345366,10
"G4500190",408894,10
"G4500190",430880,10
"G4500190",434446,10
"G4500190",447400,10
"G4500190",542572,10
"G4500190",151266,11
"G4500190",23275,14
"G4500190",282062,14
"G4500190",360519,14
"G4500190",509648,14
"G4500190",517781,14
"G4500190",34681,15
"G4500190",101260,15
"G4500190",139608,15
"G4500190",183394,15
"G4500190",206714,15
"G4500190",262161,15
"G4500190",282677,15
"G4500190",287266,15
"G4500190",294214,15
"G4500190",348263,15
"G4500190",358546,15
"G4500190",372103,15
"G4500190",380690,15
"G4500190",384443,15
"G4500190",384600,15
"G4500190",417202,15
"G4500190",433245,15
"G4500190",451326,15
"G4500190",474071,15
"G4500190",483565,15
"G4500190",506403,15
"G4500190",509473,15
"G4500190",534961,15
"G4500190",6537,16
"G4500190",7307,16
"G4500190",23214,16
"G4500190",24120,16
"G4500190",40001,16
"G4500190",46952,16
"G4500190",91572,16
"G4500190",110058,16
"G4500190",115885,16
"G4500190",116512,16
"G4500190",133331,16
"G4500190",142109,16
"G4500190",148981,16
"G4500190",156934,16
"G4500190",163031,16
"G4500190",165397,16
"G4500190",172342,16
"G4500190",180931,16
"G4500190",185951,16
"G4500190",209666,16
"G4500190",220071,16
"G4500190",736,17
"G4500190",14282,17
"G4500190",22662,17
"G4500190",25211,17
"G4500190",30553,17
"G4500190",31071,17
"G4500190",32174,17
"G4500190",40844,17
"G4500190",52950,17
"G4500190",53470,17
"G4500190",55176,17
"G4500190",63647,17
"G4500190",71356,17
"G4500190",81692,17
"G4500190",86130,17
"G4500190",87466,17
"G4500190",87935,17
"G4500190",89995,17
"G4500190",91389,17
"G4500190",92095,17
"G4500190",92169,17
"G4500190",92686,17
"G4500190",97473,17
"G4500190",102065,17
"G4500190",103686,17
"G4500190",104032,17
"G4500190",108690,17
"G4500190",109189,17
"G4500190",114236,17
"G4500190",115438,17
"G4500190",117177,17
"G4500190",120970,17
"G4500190",125732,17
"G4500190",131202,17
"G4500190",132636,17
"G4500190",134267,17
"G4500190",134275,17
"G4500190",139268,17
"G4500190",140769,17
"G4500190",140922,17
"G4500190",140933,17
"G4500190",142354,17
"G4500190",145094,17
"G4500190",153753,17
"G4500190",154605,17
"G4500190",156270,17
"G4500190",166953,17
"G4500190",168824,17
"G4500190",171455,17
"G4500190",175322,17
"G4500190",179963,17
"G4500190",181705,17
"G4500190",190703,17
"G4500190",192666,17
"G4500190",194426,17
"G4500190",202751,17
"G4500190",203415,17
"G4500190",204413,17
"G4500190",205210,17
"G4500190",219578,17
"G4500190",225332,17
"G4500190",240306,17
"G4500190",243160,17
"G4500190",249513,17
"G4500190",268507,17
"G4500190",276621,17
"G4500190",278783,17
"G4500190",284375,17
"G4500190",289407,17
"G4500190",290059,17
"G4500190",297336,17
"G4500190",302673,17
"G4500190",303181,17
"G4500190",311715,17
"G4500190",312425,17
"G4500190",312566,17
"G4500190",313766,17
"G4500190",316373,17
"G4500190",319093,17
"G4500190",332289,17
"G4500190",337377,17
"G4500190",339404,17
"G4500190",346163,17
"G4500190",348200,17
"G4500190",351004,17
"G4500190",355196,17
"G4500190",358728,17
"G4500190",359260,17
"G4500190",360749,17
"G4500190",361450,17
"G4500190",367224,17
"G4500190",374372,17
"G4500190",374395,17
"G4500190",378126,17
"G4500190",384316,17
"G4500190",388542,17
"G4500190",390767,17
"G4500190",391351,17
"G4500190",3924,18
"G4500190",8086,18
"G4500190",8810,18
"G4500190",35770,18
"G4500190",45486,18
"G4500190",47481,18
"G4500190",53531,18
"G4500190",58433,18
"G4500190",62738,18
"G4500190",63743,18
"G4500190",68112,18
"G4500190",83160,18
"G4500190",87098,18
"G4500190",88305,18
"G4500190",90375,18
"G4500190",92220,18
"G4500190",101361,18
"G4500190",106614,18
"G4500190",108013,18
"G4500190",112935,18
"G4500190",122860,18
"G4500190",123713,18
"G4500190",124574,18
"G4500190",126042,18
"G4500190",126584,18
"G4500190",130481,18
"G4500190",144007,18
"G4500190",146329,18
"G4500190",148846,18
"G4500190",153207,18
"G4500190",166822,18
"G4500190",168267,18
"G4500190",169664,18
"G4500190",170267,18
"G4500190",173425,18
"G4500190",174970,18
"G4500190",179042,18
"G4500190",183473,18
"G4500190",187008,18
"G4500190",187828,18
"G4500190",196580,18
"G4500190",209075,18
"G4500190",217426,18
"G4500190",232639,18
"G4500190",236747,18
"G4500190",239643,18
"G4500190",245591,18
"G4500190",246085,18
"G4500190",246418,18
"G4500190",253730,18
"G4500190",261143,18
"G4500190",262341,18
"G4500190",264968,18
"G4500190",272780,18
"G4500190",284470,18
"G4500190",288188,18
"G4500190",291817,18
"G4500190",308887,18
"G4500190",309308,18
"G4500190",310274,18
"G4500190",321609,18
"G4500190",333886,18
"G4500190",343635,18
"G4500190",348521,18
"G4500190",351405,18
"G4500190",352124,18
"G4500190",366899,18
"G4500190",373188,18
"G4500190",373555,18
"G4500190",375486,18
"G4500190",380764,18
"G4500190",381315,18
"G4500190",387224,18
"G4500190",14495,19
"G4500190",23486,19
"G4500190",24341,19
"G4500190",27299,19
"G4500190",40938,19
"G4500190",42353,19
"G4500190",44717,19
"G4500190",45143,19
"G4500190",57984,19
"G4500190",58263,19
"G4500190",59280,19
"G4500190",67138,19
"G4500190",67881,19
"G4500190",72554,19
"G4500190",114756,20
"G4500190",145994,20
"G4500190",175884,20
"G4500190",186846,20
"G4500190",266455,20
"G4500190",303876,20
"G4500190",356638,20
"G4500190",409347,20
"G4500190",436554,20
"G4500190",458293,20
